ï»¿Customer_ID,Gender,Age,Age_Group,City,State,Registration_Date,Customer_Tier,Total_Orders,Total_Spent
CUST00000038,male,43,36-45,Nagpur,Maharashtra,2023-11-23,Platinum,2,105011.31
CUST00000039,female,43,36-45,Howrah,"West Bengal",2023-09-03,Silver,3,10318.49
CUST00000040,female,29,26-35,Pune,Maharashtra,2024-04-24,Platinum,6,181800.28
CUST00000041,male,18,18-25,Noida,UP,2024-03-29,Platinum,6,191921.24
CUST00000042,male,41,36-45,Udaipur,Rajasthan,2024-02-20,Platinum,5,125102.36
CUST00000043,female,40,36-45,Ahmedabad,Gujarat,2023-08-31,Platinum,2,73861.57
CUST00000044,male,24,18-25,"New Delhi",Delhi,2024-01-08,Platinum,3,194783.7
CUST00000045,male,29,26-35,Ludhiana,Punjab,2023-07-23,Platinum,6,105687.92
CUST00000046,female,35,26-35,Rajkot,Gujarat,2024-01-04,Platinum,3,76112.05
CUST00000047,female,55,46-55,Bangalore,Karnataka,2024-01-19,Gold,4,23683.71
CUST00000048,female,45,36-45,Faridabad,Haryana,2023-12-05,Platinum,4,108963.82
CUST00000049,female,19,18-25,Mangalore,Karnataka,2024-04-10,Platinum,5,177244.55
CUST00000050,female,52,46-55,Patiala,Punjab,2023-06-02,Gold,6,49251.13
CUST00000051,female,27,26-35,Nagpur,Maharashtra,2023-10-04,Platinum,4,261308.14
CUST00000052,female,55,46-55,Noida,UP,2023-08-17,Gold,5,41170.35
CUST00000053,female,26,26-35,Noida,UP,2024-05-19,Gold,4,34480.91
CUST00000054,male,51,46-55,Dwarka,Delhi,2024-03-10,Platinum,7,105840.62
CUST00000055,female,19,18-25,Kolkata,"West Bengal",2024-02-21,Silver,3,12704.79
CUST00000056,male,27,26-35,Dwarka,Delhi,2024-05-12,Platinum,3,107091.86
CUST00000057,female,29,26-35,Kanpur,UP,2023-12-11,Gold,4,43660.66
CUST00000058,female,29,26-35,Surat,Gujarat,2024-02-14,Platinum,5,99995.14
CUST00000059,male,33,26-35,Agra,UP,2023-09-14,Gold,3,20335.04
CUST00000060,male,25,18-25,Thane,Maharashtra,2023-10-04,Silver,2,6233.23
CUST00000061,female,50,46-55,Sohna,Haryana,2023-09-10,Platinum,4,54915.02
CUST00000062,female,29,26-35,Kota,Rajasthan,2024-04-27,Platinum,6,273662.88
CUST00000063,female,46,46-55,Nagpur,Maharashtra,2023-11-03,Silver,3,5656.29
CUST00000064,male,27,26-35,Ahmedabad,Gujarat,2024-01-31,Platinum,3,129262.34
CUST00000065,male,26,26-35,Sohna,Haryana,2023-12-22,Gold,4,22717.46
CUST00000066,female,22,18-25,Kota,Rajasthan,2023-06-26,Platinum,7,101322.12
CUST00000067,female,21,18-25,Kolkata,"West Bengal",2024-03-29,Platinum,5,187007.44
CUST00000068,female,27,26-35,Nagpur,Maharashtra,2024-01-01,Platinum,2,66203.8
CUST00000069,male,19,18-25,Lucknow,UP,2023-11-08,Gold,4,36602.11
CUST00000070,female,28,26-35,Patiala,Punjab,2023-12-25,Platinum,10,307046.11
CUST00000071,male,26,26-35,Rajkot,Gujarat,2023-09-17,Platinum,5,294444.41
CUST00000072,female,36,36-45,Surat,Gujarat,2024-05-09,Platinum,4,123244.18
CUST00000073,female,35,26-35,Madurai,"Tamil Nadu",2023-08-26,Platinum,5,201653.75
CUST00000074,female,26,26-35,Chennai,"Tamil Nadu",2023-09-13,Platinum,3,104566.2
CUST00000075,male,64,56-65,Faridabad,Haryana,2023-12-11,Platinum,8,82460.43
CUST00000076,male,34,26-35,Agra,UP,2024-01-14,Platinum,2,57569.78
CUST00000077,male,21,18-25,Thane,Maharashtra,2024-04-29,Gold,1,25735.79
CUST00000078,male,53,46-55,Gurugram,Haryana,2024-02-01,Gold,5,27333.89
CUST00000079,male,51,46-55,Ahmedabad,Gujarat,2024-03-15,Platinum,5,56879.43
CUST00000080,male,65,56-65,Rajkot,Gujarat,2024-03-10,Platinum,7,113293.86
CUST00000081,female,25,18-25,Howrah,"West Bengal",2023-07-28,Platinum,4,121001.11
CUST00000082,male,36,36-45,Durgapur,"West Bengal",2024-01-12,Platinum,3,53849.6
CUST00000083,female,38,36-45,"New Delhi",Delhi,2023-06-01,Platinum,5,144031.83
CUST00000084,female,24,18-25,"Delhi NCR",Delhi,2023-07-21,Platinum,4,188044.95
CUST00000085,female,29,26-35,Mangalore,Karnataka,2024-05-29,Platinum,8,247417.13
CUST00000086,female,31,26-35,Sohna,Haryana,2024-03-29,Platinum,4,287191.92
CUST00000087,female,21,18-25,Chennai,"Tamil Nadu",2023-07-13,Platinum,3,56323.51
CUST00000088,male,73,65+,Jalandhar,Punjab,2024-05-11,Platinum,4,65871.89
CUST00000089,male,37,36-45,Coimbatore,"Tamil Nadu",2023-12-19,Gold,5,38859.34
CUST00000090,female,25,18-25,Varanasi,UP,2023-10-07,Platinum,4,71607.6
CUST00000091,male,33,26-35,Jodhpur,Rajasthan,2023-10-22,Platinum,4,188531.2
CUST00000092,female,31,26-35,Dwarka,Delhi,2023-06-27,Platinum,5,92991
CUST00000093,male,26,26-35,Gurugram,Haryana,2024-03-19,Platinum,8,269586.36
CUST00000094,male,27,26-35,Noida,UP,2023-09-30,Platinum,7,163492.86
CUST00000095,female,21,18-25,Jaipur,Rajasthan,2024-02-18,Platinum,3,80585.97
CUST00000096,female,45,36-45,Udaipur,Rajasthan,2023-09-25,Platinum,4,278991.51
CUST00000097,male,52,46-55,Madurai,"Tamil Nadu",2023-06-22,Gold,4,43776.51
CUST00000098,female,39,36-45,Dwarka,Delhi,2024-02-07,Platinum,6,126452.66
CUST00000099,female,25,18-25,Jalandhar,Punjab,2023-12-13,Silver,3,9211.3
CUST00000100,male,33,26-35,Mangalore,Karnataka,2023-10-24,Platinum,6,291515.29
CUST00000101,male,38,36-45,Kota,Rajasthan,2023-06-08,Platinum,4,246732.59
CUST00000102,female,40,36-45,Chennai,"Tamil Nadu",2023-10-08,Platinum,6,228857.83
CUST00000103,male,44,36-45,Vadodara,Gujarat,2023-09-05,Platinum,2,107140.59
CUST00000104,female,52,46-55,Kanpur,UP,2024-01-07,Silver,3,5200.09
CUST00000105,male,61,56-65,Jaipur,Rajasthan,2024-04-12,Silver,4,11883.95
CUST00000106,male,18,18-25,Nagpur,Maharashtra,2023-12-12,Platinum,5,260393.77
CUST00000107,male,25,18-25,Pune,Maharashtra,2024-03-15,Silver,3,10243.93
CUST00000108,male,59,56-65,Kolkata,"West Bengal",2024-04-02,Gold,3,30692.49
CUST00000109,male,52,46-55,Kota,Rajasthan,2023-11-26,Gold,4,29135.14
CUST00000110,female,29,26-35,Panipat,Haryana,2023-09-04,Platinum,3,70857.21
CUST00000111,female,42,36-45,"Delhi NCR",Delhi,2023-07-09,Platinum,6,79849.84
CUST00000112,female,19,18-25,Palwal,Haryana,2024-05-29,Platinum,5,127975.44
CUST00000113,male,30,26-35,Howrah,"West Bengal",2023-09-28,Platinum,8,502062.96
CUST00000114,male,26,26-35,Vadodara,Gujarat,2024-05-11,Platinum,10,189762
CUST00000115,female,33,26-35,Alwar,Rajasthan,2023-10-08,Platinum,6,209844.81
CUST00000116,male,38,36-45,Gurugram,Haryana,2024-02-03,Platinum,7,109884.54
CUST00000117,male,61,56-65,Madurai,"Tamil Nadu",2024-03-29,Silver,5,6715.15
CUST00000118,female,38,36-45,Mumbai,Maharashtra,2024-02-27,Platinum,4,222203.56
CUST00000119,female,50,46-55,Patiala,Punjab,2024-02-25,Silver,1,1791.41
CUST00000120,male,36,36-45,Varanasi,UP,2023-12-20,Platinum,7,204735.35
CUST00000121,male,20,18-25,Jalandhar,Punjab,2024-05-30,Silver,5,4932.95
CUST00000122,male,30,26-35,Faridabad,Haryana,2024-02-11,Platinum,7,146750.8
CUST00000123,male,27,26-35,Dwarka,Delhi,2023-11-21,Platinum,5,54202.76
CUST00000124,female,32,26-35,Dwarka,Delhi,2024-03-25,Platinum,9,257440.8
CUST00000125,female,45,36-45,Gurugram,Haryana,2023-12-29,Platinum,8,107546.13
CUST00000126,male,65,56-65,Thane,Maharashtra,2024-02-12,Platinum,2,64560.71
CUST00000127,male,23,18-25,Howrah,"West Bengal",2023-06-14,Platinum,6,210212.65
CUST00000128,male,47,46-55,Gurugram,Haryana,2023-10-30,Platinum,6,85529.24
CUST00000129,male,41,36-45,Bangalore,Karnataka,2023-09-11,Platinum,6,146878.21
CUST00000130,female,29,26-35,Madurai,"Tamil Nadu",2024-03-03,Platinum,8,236809.65
CUST00000131,male,31,26-35,Patiala,Punjab,2023-07-02,Platinum,5,157363.13
CUST00000132,male,39,36-45,Panipat,Haryana,2023-10-10,Platinum,3,124777.27
CUST00000133,male,29,26-35,Rajkot,Gujarat,2023-07-25,Silver,1,17017.24
CUST00000134,female,44,36-45,Jalandhar,Punjab,2023-07-16,Platinum,4,115095.52
CUST00000135,male,40,36-45,Alwar,Rajasthan,2023-10-21,Gold,2,35278.96
CUST00000136,female,22,18-25,Howrah,"West Bengal",2024-01-16,Platinum,5,153155.63
CUST00000137,male,33,26-35,Kota,Rajasthan,2024-04-06,Platinum,8,211325.72
CUST00000138,male,22,18-25,Udaipur,Rajasthan,2023-11-04,Platinum,5,57443.49
CUST00000139,male,47,46-55,Durgapur,"West Bengal",2023-11-12,Gold,12,47995.03
CUST00000140,female,21,18-25,Jodhpur,Rajasthan,2024-04-01,Platinum,8,200918.36
CUST00000141,male,22,18-25,Udaipur,Rajasthan,2024-03-23,Platinum,4,151036.62
CUST00000142,female,27,26-35,Alwar,Rajasthan,2023-10-15,Platinum,4,75196.48
CUST00000143,male,33,26-35,Udaipur,Rajasthan,2023-12-04,Silver,2,12736.01
CUST00000144,female,33,26-35,Durgapur,"West Bengal",2023-06-26,Platinum,4,167722.94
CUST00000145,male,40,36-45,Patiala,Punjab,2024-01-12,Gold,2,48802.77
CUST00000146,female,27,26-35,Rajkot,Gujarat,2023-12-31,Platinum,6,152657.68
CUST00000147,male,47,46-55,Ahmedabad,Gujarat,2024-01-29,Gold,6,49877.23
CUST00000148,female,54,46-55,Coimbatore,"Tamil Nadu",2024-05-20,Silver,3,13411.73
CUST00000149,male,30,26-35,Thane,Maharashtra,2023-11-07,Platinum,10,299985.96
CUST00000150,male,48,46-55,Chennai,"Tamil Nadu",2023-11-07,Platinum,9,77803.79
CUST00000151,male,44,36-45,Madurai,"Tamil Nadu",2024-02-17,Platinum,4,105603.25
CUST00000152,male,43,36-45,Faridabad,Haryana,2023-11-28,Platinum,5,200329.99
CUST00000153,female,43,36-45,Lucknow,UP,2023-07-31,Platinum,6,242171.4
CUST00000154,female,21,18-25,Surat,Gujarat,2023-10-28,Gold,8,22481.33
CUST00000155,male,20,18-25,Coimbatore,"Tamil Nadu",2023-06-10,Silver,6,13206.81
CUST00000156,female,40,36-45,Kota,Rajasthan,2023-10-12,Platinum,5,70181.6
CUST00000157,female,34,26-35,Chennai,"Tamil Nadu",2023-11-08,Platinum,6,364038.16
CUST00000158,female,43,36-45,Pune,Maharashtra,2023-06-21,Platinum,4,272332.35
CUST00000159,male,33,26-35,Vadodara,Gujarat,2023-07-19,Platinum,4,82303.38
CUST00000160,female,23,18-25,"Delhi NCR",Delhi,2024-05-28,Platinum,9,449522.63
CUST00000161,female,49,46-55,Palwal,Haryana,2023-09-21,Silver,7,9069.83
CUST00000162,female,58,56-65,Kanpur,UP,2023-09-22,Gold,2,42669.11
CUST00000163,female,36,36-45,"New Delhi",Delhi,2024-03-02,Platinum,7,194611.58
CUST00000164,female,35,26-35,Vadodara,Gujarat,2024-03-31,Platinum,4,136884.68
CUST00000165,male,36,36-45,Kota,Rajasthan,2024-01-21,Platinum,6,233935.85
CUST00000166,male,18,18-25,Howrah,"West Bengal",2024-04-12,Gold,4,24124.65
CUST00000167,male,73,65+,Agra,UP,2023-06-29,Platinum,3,70703.63
CUST00000168,male,37,36-45,"Delhi NCR",Delhi,2023-10-25,Platinum,5,237839.3
CUST00000169,male,45,36-45,Surat,Gujarat,2024-05-05,Platinum,5,221258.87
CUST00000170,male,33,26-35,Kota,Rajasthan,2024-03-07,Platinum,3,77028.91
CUST00000171,male,44,36-45,Thane,Maharashtra,2023-10-17,Platinum,7,145296.12
CUST00000172,male,47,46-55,Sohna,Haryana,2023-11-12,Silver,1,3098.7
CUST00000173,male,40,36-45,Patiala,Punjab,2024-01-11,Gold,4,44028.96
CUST00000174,male,63,56-65,Kanpur,UP,2024-03-17,Gold,6,49071.38
CUST00000175,female,27,26-35,Varanasi,UP,2023-08-01,Platinum,3,69885.81
CUST00000176,female,34,26-35,Rajkot,Gujarat,2023-12-17,Platinum,4,110858.14
CUST00000177,female,23,18-25,Mysore,Karnataka,2024-01-07,Silver,2,8667.45
CUST00000178,female,26,26-35,Panipat,Haryana,2024-01-27,Platinum,7,222910.9
CUST00000179,male,25,18-25,Udaipur,Rajasthan,2023-06-10,Platinum,7,128136.19
CUST00000180,female,33,26-35,Jalandhar,Punjab,2023-11-26,Platinum,4,84655.35
CUST00000181,female,29,26-35,Noida,UP,2023-06-06,Platinum,8,164166.51
CUST00000182,female,40,36-45,Jodhpur,Rajasthan,2023-10-02,Platinum,14,214908.4
CUST00000183,male,65,56-65,Mangalore,Karnataka,2023-11-15,Gold,2,27512.48
CUST00000184,male,26,26-35,Madurai,"Tamil Nadu",2024-05-01,Platinum,7,212011.62
CUST00000185,female,28,26-35,Thane,Maharashtra,2024-05-18,Platinum,5,350896.36
CUST00000186,male,23,18-25,Bangalore,Karnataka,2023-09-30,Platinum,6,168262.25
CUST00000187,female,18,18-25,Patiala,Punjab,2023-09-18,Platinum,4,110125.76
CUST00000188,male,32,26-35,Varanasi,UP,2023-11-24,Gold,3,43815.19
CUST00000189,male,28,26-35,Pune,Maharashtra,2024-05-22,Platinum,5,102621.48
CUST00000190,female,25,18-25,Varanasi,UP,2023-10-09,Platinum,8,175996.51
CUST00000191,male,49,46-55,Howrah,"West Bengal",2023-09-23,Gold,6,41542.9
CUST00000192,female,25,18-25,Jaipur,Rajasthan,2023-06-19,Platinum,7,207488.74
CUST00000193,female,26,26-35,Howrah,"West Bengal",2024-02-15,Platinum,8,125806.12
CUST00000194,male,32,26-35,Patiala,Punjab,2024-05-19,Gold,2,36453.6
CUST00000195,female,64,56-65,Jalandhar,Punjab,2024-02-23,Platinum,4,59085.74
CUST00000196,female,31,26-35,Gurugram,Haryana,2023-09-20,Platinum,5,57225.18
CUST00000197,male,22,18-25,Surat,Gujarat,2023-12-31,Silver,3,16842.56
CUST00000198,female,18,18-25,Palwal,Haryana,2023-10-26,Gold,5,27671.01
CUST00000199,male,71,65+,Agra,UP,2023-07-27,Platinum,6,58014.85
CUST00000200,female,30,26-35,Alwar,Rajasthan,2024-04-29,Platinum,5,102296.53
CUST00000201,male,30,26-35,Ahmedabad,Gujarat,2024-05-12,Platinum,6,157086.29
CUST00000202,male,40,36-45,Madurai,"Tamil Nadu",2023-11-07,Platinum,3,124855.88
CUST00000203,male,41,36-45,Faridabad,Haryana,2024-04-10,Platinum,10,328604.54
CUST00000204,male,23,18-25,Lucknow,UP,2023-08-19,Platinum,3,81479.78
CUST00000205,male,21,18-25,Agra,UP,2024-03-08,Silver,6,17869.66
CUST00000206,male,33,26-35,Pune,Maharashtra,2023-09-20,Platinum,3,73420.97
CUST00000207,male,29,26-35,Dwarka,Delhi,2023-11-16,Platinum,7,144274.11
CUST00000208,female,27,26-35,Coimbatore,"Tamil Nadu",2023-11-08,Platinum,6,74332.62
CUST00000209,female,39,36-45,Jalandhar,Punjab,2024-03-06,Platinum,6,87857.59
CUST00000210,female,29,26-35,Dwarka,Delhi,2023-08-29,Platinum,4,163263.1
CUST00000211,male,28,26-35,Pune,Maharashtra,2024-01-10,Platinum,3,104207.44
CUST00000212,male,58,56-65,Amritsar,Punjab,2023-09-13,Gold,4,28940.19
CUST00000213,female,22,18-25,Noida,UP,2023-12-24,Gold,6,26204.35
CUST00000214,female,27,26-35,Mysore,Karnataka,2023-06-10,Platinum,7,87186.28
CUST00000215,male,28,26-35,Pune,Maharashtra,2024-02-07,Platinum,5,77630.72
CUST00000216,male,25,18-25,"New Delhi",Delhi,2023-07-28,Platinum,4,93947.17
CUST00000217,male,42,36-45,Howrah,"West Bengal",2023-10-06,Platinum,5,124444.68
CUST00000218,male,31,26-35,Jalandhar,Punjab,2024-01-22,Platinum,4,75206.54
CUST00000219,female,29,26-35,Vadodara,Gujarat,2023-09-16,Platinum,3,116643.03
CUST00000220,female,23,18-25,Howrah,"West Bengal",2023-08-23,Silver,4,17210.82
CUST00000221,female,30,26-35,Ludhiana,Punjab,2024-01-06,Silver,4,18114.17
CUST00000222,female,63,56-65,Udaipur,Rajasthan,2023-06-07,Platinum,6,105133.94
CUST00000223,male,50,46-55,"Delhi NCR",Delhi,2024-04-26,Gold,6,40859.37
CUST00000224,male,44,36-45,Dwarka,Delhi,2023-09-13,Platinum,10,331695.55
CUST00000225,male,34,26-35,Mysore,Karnataka,2024-05-09,Platinum,4,51708.46
CUST00000226,male,30,26-35,Jalandhar,Punjab,2023-07-21,Platinum,4,156196.59
CUST00000227,female,33,26-35,Nagpur,Maharashtra,2024-04-11,Gold,3,38713.98
CUST00000228,male,18,18-25,Surat,Gujarat,2024-02-08,Silver,7,19475.32
CUST00000229,female,54,46-55,Madurai,"Tamil Nadu",2023-07-04,Platinum,13,135444.77
CUST00000230,male,20,18-25,Kota,Rajasthan,2024-01-26,Platinum,6,176750.04
CUST00000231,male,27,26-35,Ludhiana,Punjab,2024-05-25,Platinum,8,214089.57
CUST00000232,male,53,46-55,Vadodara,Gujarat,2023-08-17,Platinum,9,58151.07
CUST00000233,female,25,18-25,Kanpur,UP,2023-07-10,Platinum,4,178570.07
CUST00000234,male,32,26-35,Agra,UP,2023-09-04,Platinum,3,72574.94
CUST00000235,male,20,18-25,Mysore,Karnataka,2024-02-19,Platinum,7,208446.72
CUST00000236,female,68,65+,Noida,UP,2023-10-03,Silver,2,10866.83
CUST00000237,male,43,36-45,Howrah,"West Bengal",2023-07-31,Gold,4,36546.07
CUST00000238,male,47,46-55,Alwar,Rajasthan,2024-03-24,Gold,3,33214.45
CUST00000239,male,41,36-45,Noida,UP,2023-06-06,Gold,2,26432.35
CUST00000240,female,19,18-25,Noida,UP,2024-01-05,Platinum,9,185799.38
CUST00000241,female,47,46-55,Kanpur,UP,2023-09-28,Platinum,8,71282.66
CUST00000242,female,27,26-35,Noida,UP,2024-01-27,Platinum,9,263630.23
CUST00000243,male,38,36-45,Vadodara,Gujarat,2024-04-07,Platinum,4,99778.71
CUST00000244,male,43,36-45,"New Delhi",Delhi,2024-03-27,Silver,3,12156.82
CUST00000245,male,63,56-65,Lucknow,UP,2024-01-03,Silver,3,8248.22
CUST00000246,female,27,26-35,Durgapur,"West Bengal",2024-05-30,Platinum,3,78656.12
CUST00000247,female,46,46-55,Vadodara,Gujarat,2023-12-20,Gold,4,32234.39
CUST00000248,female,33,26-35,Surat,Gujarat,2023-07-09,Gold,3,38569.65
CUST00000249,female,56,56-65,Jodhpur,Rajasthan,2024-01-25,Silver,4,18444.23
CUST00000250,male,35,26-35,Kota,Rajasthan,2023-08-28,Gold,6,46053.72
CUST00000251,male,41,36-45,Madurai,"Tamil Nadu",2023-07-30,Silver,1,616.37
CUST00000252,female,25,18-25,Ahmedabad,Gujarat,2023-11-08,Platinum,8,161434.96
CUST00000253,female,47,46-55,Kolkata,"West Bengal",2023-06-29,Platinum,12,106178.13
CUST00000254,male,60,56-65,Ludhiana,Punjab,2023-06-16,Gold,6,25741.09
CUST00000255,male,32,26-35,Gurugram,Haryana,2023-07-31,Platinum,5,399536.97
CUST00000256,female,48,46-55,Noida,UP,2024-03-03,Platinum,7,104931
CUST00000257,female,19,18-25,Vadodara,Gujarat,2023-10-29,Platinum,6,216490.18
CUST00000258,male,47,46-55,Rajkot,Gujarat,2023-08-16,Platinum,5,58287.48
CUST00000259,male,27,26-35,Ludhiana,Punjab,2024-05-16,Gold,6,44380.87
CUST00000260,male,64,56-65,Varanasi,UP,2024-05-17,Platinum,4,52390.25
CUST00000261,male,33,26-35,Dwarka,Delhi,2023-07-20,Platinum,5,237749.83
CUST00000262,male,24,18-25,Jodhpur,Rajasthan,2023-07-28,Silver,1,705.38
CUST00000263,male,27,26-35,Noida,UP,2024-01-16,Platinum,5,118059.29
CUST00000264,male,45,36-45,"Delhi NCR",Delhi,2024-01-16,Platinum,8,223346.9
CUST00000265,female,28,26-35,Varanasi,UP,2023-10-11,Gold,1,26885.26
CUST00000266,female,26,26-35,Udaipur,Rajasthan,2024-03-24,Platinum,4,200778.36
CUST00000267,male,23,18-25,Surat,Gujarat,2024-03-13,Platinum,8,159108.85
CUST00000268,male,26,26-35,Lucknow,UP,2024-02-17,Platinum,4,77219.49
CUST00000269,male,47,46-55,Dwarka,Delhi,2023-10-06,Silver,5,6980.75
CUST00000270,female,26,26-35,Gurugram,Haryana,2024-01-24,Platinum,4,176823.81
CUST00000271,male,38,36-45,Noida,UP,2023-08-19,Platinum,7,219872.82
CUST00000272,female,42,36-45,Dwarka,Delhi,2023-12-04,Platinum,5,310252.72
CUST00000273,male,30,26-35,Surat,Gujarat,2023-08-13,Platinum,8,321716.06
CUST00000274,female,29,26-35,"New Delhi",Delhi,2023-11-07,Platinum,3,208976.44
CUST00000275,male,45,36-45,Ahmedabad,Gujarat,2023-09-25,Platinum,6,93591.93
CUST00000276,male,27,26-35,Varanasi,UP,2024-05-29,Gold,3,36092.21
CUST00000277,female,51,46-55,Mumbai,Maharashtra,2024-03-10,Gold,6,24067.75
CUST00000278,male,32,26-35,Jodhpur,Rajasthan,2023-11-27,Gold,3,34643.09
CUST00000279,male,23,18-25,Nagpur,Maharashtra,2024-01-15,Platinum,2,175205.35
CUST00000280,male,18,18-25,Noida,UP,2023-09-02,Platinum,7,99260.08
CUST00000281,female,34,26-35,Nagpur,Maharashtra,2024-04-15,Platinum,9,199540.04
CUST00000282,female,43,36-45,Howrah,"West Bengal",2023-06-08,Platinum,4,91789.24
CUST00000283,female,26,26-35,Lucknow,UP,2023-09-15,Platinum,9,304235.58
CUST00000284,male,25,18-25,Kota,Rajasthan,2023-06-18,Platinum,4,362251.74
CUST00000285,male,65,56-65,Noida,UP,2024-02-20,Platinum,5,57665
CUST00000286,female,25,18-25,Alwar,Rajasthan,2023-08-09,Platinum,7,129263.72
CUST00000287,female,43,36-45,Varanasi,UP,2023-11-14,Platinum,7,214300.69
CUST00000288,male,22,18-25,Thane,Maharashtra,2023-09-27,Gold,3,41508.62
CUST00000289,female,23,18-25,Alwar,Rajasthan,2024-02-13,Silver,2,17601.49
CUST00000290,female,40,36-45,Faridabad,Haryana,2023-08-20,Platinum,7,141537.22
CUST00000291,female,31,26-35,Amritsar,Punjab,2023-06-28,Platinum,6,103940.13
CUST00000292,female,26,26-35,Gurugram,Haryana,2023-08-04,Platinum,3,64507.28
CUST00000293,female,37,36-45,Surat,Gujarat,2023-09-20,Platinum,4,187043.2
CUST00000294,male,53,46-55,Mysore,Karnataka,2024-02-20,Gold,6,24052.79
CUST00000295,male,26,26-35,Durgapur,"West Bengal",2023-11-13,Platinum,8,252158.18
CUST00000296,male,33,26-35,Sohna,Haryana,2024-02-26,Platinum,5,98147.58
CUST00000297,male,41,36-45,"New Delhi",Delhi,2023-07-07,Gold,4,37912.69
CUST00000298,female,45,36-45,Howrah,"West Bengal",2023-12-28,Platinum,3,144816.21
CUST00000299,male,29,26-35,Jodhpur,Rajasthan,2023-06-04,Platinum,5,86219.24
CUST00000300,male,30,26-35,Durgapur,"West Bengal",2023-08-17,Platinum,8,270498.92
CUST00000301,male,22,18-25,Coimbatore,"Tamil Nadu",2023-09-11,Silver,0,0
CUST00000302,male,24,18-25,Kota,Rajasthan,2023-07-24,Platinum,4,158489.79
CUST00000303,female,20,18-25,Thane,Maharashtra,2023-11-20,Silver,2,8959.08
CUST00000304,female,25,18-25,Gurugram,Haryana,2024-03-17,Platinum,6,204157.42
CUST00000305,male,25,18-25,Patiala,Punjab,2023-10-10,Silver,1,290.03
CUST00000306,female,62,56-65,Madurai,"Tamil Nadu",2023-09-26,Platinum,5,93085.54
CUST00000307,female,31,26-35,Ludhiana,Punjab,2023-06-26,Silver,2,5649.21
CUST00000308,female,70,65+,Jodhpur,Rajasthan,2024-03-30,Silver,1,610.65
